Beneficiary ID,Age,Gender,State,District,Program Category,Enrollment Date,Program Completion Status,Attendance Percentage,Training Hours,Funds Allocated,Funds Utilized,Volunteer Count,Satisfaction Score,Employment Obtained After Training (Yes/No),Monthly Donation Amount,Donor Type,Event Participation Count
BEN-00001,32,Female,Uttar Pradesh,Lucknow,Skill Development,2022-06-05,Completed,69.46,194,27900.0,21413.91,5,3.0,No,2100.0,Individual,1
BEN-00002,26,Female,Maharashtra,Mumbai,Women Empowerment,2022-02-06,Completed,94.5,109,16000.0,13902.89,3,5.0,No,0.0,None,1
BEN-00003,34,Male,Uttar Pradesh,Varanasi,Health Awareness,2024-06-09,Completed,93.99,10,2900.0,2412.57,1,4.0,No,0.0,None,1
BEN-00004,43,Male,Maharashtra,Mumbai,Education,2023-03-31,Completed,69.59,86,7600.0,6416.73,10,3.0,No,0.0,None,4
BEN-00005,25,Female,Uttar Pradesh,Noida,Health Awareness,2025-12-28,Ongoing,81.35,11,1800.0,1568.16,6,,No,0.0,None,3
BEN-00006,25,Male,Maharashtra,Mumbai,Women Empowerment,2023-10-09,Completed,70.02,122,24900.0,22006.52,7,3.0,No,0.0,None,1
BEN-00007,43,Female,Maharashtra,Nagpur,Digital Literacy,2022-09-29,Completed,73.07,50,11900.0,9536.42,9,3.0,No,0.0,None,2
BEN-00008,35,Male,West Bengal,Kolkata,Skill Development,2024-09-18,Completed,59.13,185,17200.0,15173.3,5,4.0,No,0.0,None,6
BEN-00009,23,Female,West Bengal,Kolkata,Digital Literacy,2022-12-07,Completed,83.71,64,11600.0,9652.22,9,5.0,Yes,12600.0,Corporate,3
BEN-00010,33,Female,Uttar Pradesh,Kanpur,Digital Literacy,2024-03-02,Completed,88.97,75,11500.0,10292.82,7,4.0,Yes,800.0,Individual,3
BEN-00011,23,Female,Delhi,New Delhi,Skill Development,2024-02-12,Completed,87.26,160,19800.0,19202.04,1,4.0,No,0.0,None,4
BEN-00012,23,Female,Uttar Pradesh,Lucknow,Skill Development,2023-12-28,Completed,66.61,195,23400.0,23367.08,4,4.0,No,24400.0,CSR,3
BEN-00013,30,Male,Uttar Pradesh,Lucknow,Digital Literacy,2025-04-30,Completed,95.09,62,11700.0,11308.43,1,4.0,No,12700.0,Corporate,3
BEN-00014,15,Female,Uttar Pradesh,Noida,Health Awareness,2022-10-08,Completed,68.99,11,1700.0,1587.59,7,3.0,No,0.0,None,2
BEN-00015,15,Male,West Bengal,Kolkata,Digital Literacy,2025-09-10,Completed,65.72,65,7900.0,7051.12,7,3.0,No,1300.0,Individual,3
BEN-00016,22,Male,West Bengal,Kolkata,Health Awareness,2025-04-24,Completed,65.73,10,3300.0,3248.54,2,4.0,No,2000.0,Individual,3
BEN-00017,17,Female,Uttar Pradesh,Noida,Women Empowerment,2023-06-01,Completed,76.99,121,21500.0,19923.48,6,4.0,No,21500.0,Government,3
BEN-00018,31,Female,Uttar Pradesh,Kanpur,Education,2022-07-18,Completed,81.49,75,8800.0,7109.18,1,4.0,No,0.0,None,2
BEN-00019,18,Female,Uttar Pradesh,Noida,Skill Development,2023-02-18,Dropped Out,85.68,224,28200.0,24057.83,10,2.0,No,0.0,None,1
BEN-00020,15,Male,Maharashtra,Pune,Digital Literacy,2023-05-31,Completed,71.6,55,8500.0,7939.51,9,3.0,No,0.0,None,3
BEN-00021,42,Female,Maharashtra,Nagpur,Skill Development,2024-06-06,Completed,57.32,192,21200.0,17346.33,4,3.0,No,0.0,None,1
BEN-00022,25,Female,Uttar Pradesh,Varanasi,Education,2021-07-03,Completed,73.26,87,7200.0,6989.07,8,3.0,No,0.0,None,0
BEN-00023,28,Female,Karnataka,Bangalore,Health Awareness,2025-09-22,Completed,76.72,10,3400.0,3197.35,6,3.0,No,0.0,None,2
BEN-00024,15,Male,Uttar Pradesh,Noida,Health Awareness,2021-12-16,Completed,82.21,12,3300.0,2899.87,5,5.0,No,3400.0,CSR,3
BEN-00025,22,Female,West Bengal,Howrah,Skill Development,2023-02-17,Completed,77.26,163,29000.0,26754.35,8,3.0,No,0.0,None,4
BEN-00026,29,Female,Delhi,South Delhi,Skill Development,2022-01-16,Completed,96.74,178,19100.0,16138.63,2,4.0,No,0.0,None,1
